rank,risk_id,cluster_id,title,risk_category,business_function,event_type,primary_asset_or_service,score_used,likelihood_used,impact_used,risk_score_baseline,risk_score_adjusted,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary,impact_narrative,evidence_count,start_date,end_date,publishers,urls_sample,impact_keywords,entity_summary,cluster_summary
11,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000160,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,OUTAGE_CLOUD_REGION,cloud,15,3,5,8,15,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2026-03-03 to 2026-03-03 across 1 source(s). Representative sources: AWS Middle East outage: a reminder not to rely on cloud as disaster recovery plan - Network World,"OUTAGE_CLOUD_REGION affecting cloud can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2026-03-03,2026-03-03,Network World,https://news.google.com/rss/articles/CBMiygFBVV95cUxQb2JaODNwS2UwcWhtV1MwajM2Mm5PYUZhb2xwWjVsaDR3N1ZlbC1ENllNX0drV2VZdEFFcTRvZXUxdXc0ZlZaeTBLbkNkZXl3bmZKMXNuNC1NTjdVZmdDaEJ3VERmMldTWC1MWkd3X2dWQ3VRWjdoVkJJVmRDRWI2bVNfbkdrbUNOVXJOU0RNMXFLT3p1U25LTjM0RjVkWnVvVS1ESXBEN0FzalczQzI3VVhGUzFUemN6bDlwYzZVZW44MUxjZ05oTDFn?oc=5,outage,,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.
12,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000170,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,UNKNOWN,15,3,5,10,15,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2026-03-10 to 2026-03-10 across 1 source(s). Representative sources: Expanding ransomware reach intensifies sector-wide cyber exposure - Insurance Business,"SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2026-03-10,2026-03-10,Insurance Business,https://news.google.com/rss/articles/CBMixgFBVV95cUxOdEZuSGZJX000T0FXbE1XQjkyX29EQUViRHAwMUJmcHJrZXlENFY2WWFhRHMxT0VwYkFmNURjaGJ0QlVUQUxaNEtHZjFiT3RVQ1hGSnBJdTJfZzV0VXB0VlpDRmVjTGZ4d2lSd0U1UWhPemNJYzE5N1JjNjBwZUFPUXV3RTFQTE84eWdldk1yVXVSN2JOZVlON0hTMWxyMFhkTlI5ODZCMVRrTHlUUGMzblJhTWFMLUVHdndQU2JpMUpKdnBNbEE?oc=5,ransomware,,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.
13,RISK-OUTAGE_APPLICATION-UNKNOWN-E696CE94,CL-000173,Critical application outage disrupts business operations,Technology,Identity & Access Management,OUTAGE_APPLICATION,UNKNOWN,15,3,5,8,15,Weak,High,True,INC-0001,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting UNKNOWN in Identity & Access Management. Evidence window: 2026-03-11 to 2026-03-11 across 1 source(s). Representative sources: Instagram Down: New Outage Causes Widespread Disruption in Posting and DM Functionality - CyberSecurityNews,"OUTAGE_APPLICATION affecting UNKNOWN can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2026-03-11,2026-03-11,CyberSecurityNews,https://news.google.com/rss/articles/CBMikgFBVV95cUxONzRadGVPeFowdk9CQVUtXzZnbWVSTGU3QjM1WFBRQ19KVlFneUx0cmU2S1RQV0ZRRVI2aEcxUWlBQ0s5d1diUXlVRjNrV193Qk0xdXVpckh2SDdhSnRUTndIR2lGc0p6WWlzN3VocEZZLU1hWEU0UDU2Y1BhVlhmOGxPVVFoNndIX1ZTbERuaVBHQQ?oc=5,"disruption,outage",,OUTAGE_APPLICATION affecting UNKNOWN in Identity & Access Management.
14,RISK-OUTAGE_NETWORK-NETWORK-C79A7C5B,CL-000190,Network outage disrupts connectivity to critical services,Technology,Cloud Infrastructure,OUTAGE_NETWORK,network,15,3,5,8,15,Weak,High,True,INC-0005,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Cloud Infrastructure. Evidence window: 2026-03-17 to 2026-03-17 across 1 source(s). Representative sources: 2026 network outage report and internet health check - Network World,"OUTAGE_NETWORK affecting network can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2026-03-17,2026-03-17,Network World,https://news.google.com/rss/articles/CBMipAFBVV95cUxQV0JCRjM1ZUF6c2NhUDJ4LTFrVEl4blBFb0dFRk9paE5tZnc2ZUNaU28xdnJ3bVhjYzg4WFEteWl2NUIyRkFCd1diTWJxeHhDQUFNOXpDc2NWUC0wSHkwOUVfT2Rma2pxNzZsUUJ4LWhwc1h1MjJpQkxzbUdXTzc1SXhidU9PVVNtYUNtbTFHWHpBeUxQYnVpWGJZUWdJRm9fSllCMg?oc=5,outage,,OUTAGE_NETWORK affecting network in Cloud Infrastructure.
15,RISK-OUTAGE_APPLICATION-UNKNOWN-72055D9F,CL-000007,Critical application outage disrupts business operations,Technology,Supplier Integration,OUTAGE_APPLICATION,UNKNOWN,15,3,5,8,15,Weak,Medium,True,INC-0003,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting UNKNOWN in Supplier Integration. Evidence window: 2024-07-19 to 2024-07-19 across 1 source(s). Representative sources: POWER OUTAGE: Updates of the global situation - International Airport Review,"OUTAGE_APPLICATION affecting UNKNOWN can disrupt Supplier Integration, causing operational delays and recovery complications.",1,2024-07-19,2024-07-19,International Airport Review,https://news.google.com/rss/articles/CBMiogFBVV95cUxQOTl2VEVGdDhXNllzLVMxR3lYNGhmX0Z5ZXFPY0dEaHNDRzV2Um1hR1NNVEQ3N0VTSnBwUzhOV3owMUxNQjBiSVlrWEpSOTdzT2FHbXBPZDNrOUxVOVZRYWw4Yy1NcDdxSjBTRERfY1RqR2dEY0ViWi10RVBXSXg0WEZBNXpPbGtlTzRHQVV4d2JSSnlZQ05YTXd1eTV6RDBDVkE?oc=5,outage,,OUTAGE_APPLICATION affecting UNKNOWN in Supplier Integration.
16,RISK-OUTAGE_APPLICATION-UNKNOWN-E696CE94,CL-000009,Critical application outage disrupts business operations,Technology,Identity & Access Management,OUTAGE_APPLICATION,UNKNOWN,15,3,5,8,15,Weak,Medium,True,INC-0001,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting UNKNOWN in Identity & Access Management. Evidence window: 2025-04-29 to 2025-04-29 across 1 source(s). Representative sources: Oracle Health data center maintenance triggered EHR outage at CHS - Healthcare IT News,"OUTAGE_APPLICATION affecting UNKNOWN can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2025-04-29,2025-04-29,Healthcare IT News,https://news.google.com/rss/articles/CBMiogFBVV95cUxQejh0WnQ1YkpadlU4OVRRXzFhV1RrVHVGOHV1LVBTXzdHMlA0T2FBYmpjQkNITmtiRWpjbE5DRE85ZUV4LTM3LUg1WklCcXFFMmtMX3ZPUThkeW40STZiZ0ZXS2RCVmlXczlyWHk2OER0UDlrVm5wUWVsS1F0WnlzRHVRdmoxZ0FCNksyVVhfSFY2WmNwWGNjdmpJUTJjZzdHbkE?oc=5,outage,,OUTAGE_APPLICATION affecting UNKNOWN in Identity & Access Management.
17,RISK-OUTAGE_CLOUD_REGION-CLOUD-D84B5CE9,CL-000019,Cloud region outage disrupts hosted workloads,Technology,Identity & Access Management,OUTAGE_CLOUD_REGION,cloud,15,3,5,8,15,Weak,Medium,True,INC-0001,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,"Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Identity & Access Management. Evidence window: 2025-06-12 to 2025-06-12 across 1 source(s). Representative sources: Google suffers cloud outage, causing disruptions for OpenAI, Shopify and other services - CNBC","OUTAGE_CLOUD_REGION affecting cloud can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2025-06-12,2025-06-12,CNBC,https://news.google.com/rss/articles/CBMioAFBVV95cUxNaWNub3dBXzBPR1BRTGFvWUk5ZDF0Q2ZLQlBMZVJFSjFZZHR2dVMzSzZWQ2Mxc3BLT2JYMGFXc1hmRlNuaEd3VWtNRXlNbS1NejJDQkhPa0tRejlDbGhvRzRqMUxuSHZOZjVURlVuZGplMUFFSjJZYlFFSEY3ZnczODkxZ1RlNEZEOHJqVXVWVXgxOE5DTGFTYXVYUTZJMTls0gGmAUFVX3lxTE5xMW94RVlxbFNpQkZCSmpReXhlWUFYb3prcmZndkhxd2dSZmYtd2xBTDlINk8wcjJVVmxkcmFRWXBldTRjTXpKa2RRUkpnaEJSZ3ZqLUZsSTh1Q0ppTHZuMk44MWZKWXQ3SGlyZkxKYXZjTGZma0lpbkpJTjdZdGRqaDhIbE1qVGx2aG5ZcllWOWdLd0xpZlR0LWstUmEzNkRBR3JxSHc?oc=5,outage,,OUTAGE_CLOUD_REGION affecting cloud in Identity & Access Management.
18,RISK-OUTAGE_APPLICATION-UNKNOWN-EF219986,CL-000022,Critical application outage disrupts business operations,Technology,Network Infrastructure,OUTAGE_APPLICATION,UNKNOWN,15,3,5,8,15,Weak,Medium,True,INC-0004,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting UNKNOWN in Network Infrastructure. Evidence window: 2025-07-24 to 2025-07-24 across 1 source(s). Representative sources: Starlink outage: Service returns after over two hours down - Engadget,"OUTAGE_APPLICATION affecting UNKNOWN can disrupt Network Infrastructure, causing operational delays and recovery complications.",1,2025-07-24,2025-07-24,Engadget,https://news.google.com/rss/articles/CBMisAFBVV95cUxQeU9NM042LVRCWlIzS3RhNjVwbThjMDZYamJWWXdMVUIzOHVEZU5NWlIwRVZpUnVvZGhkNjY1OTJsWHQ2U0lkQnBJbWg5WHpTUzVmc1ZXR0FvZVYzU0s0b09lanR4UElFekI2SVF2ZlBOc0YzZEhpcHRudzh3Mm9oenRKd1hHXzRrNk1KajVaVFRGOUVOQ25kQzhTa1d0Wi04eTRRN3hnZUsySDNEXzNwcg?oc=5,outage,,OUTAGE_APPLICATION affecting UNKNOWN in Network Infrastructure.
19,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000023,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,OUTAGE_NETWORK,network,15,3,5,8,15,Weak,Medium,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2025-07-25 to 2025-07-25 across 1 source(s). Representative sources: SpaceX probes for cause of Starlink's global satellite network outage - Reuters,"OUTAGE_NETWORK affecting network can disrupt Network Infrastructure, causing operational delays and recovery complications.",1,2025-07-25,2025-07-25,Reuters,https://news.google.com/rss/articles/CBMirAFBVV95cUxOTlJYQmNDd1kwVzFnVkZPNDRROVYzS1dtelZ5QWdQM01XR2FONXNvZ3RMeVEzUmFIYkNrTEg0TlQ0ZXZDLUhmOUdwSDNSTnhYbmdUXzUwclY0WmdWeHAydkV4aE1GZnpOaDVDQnFBNWNSYmlDbnV5RWxQdzg3OWp2djI4LXFOU2hUaGZSTDY0ME5hT0Y0SEY0dHFvSlRCTUhfNVlZOGpualZ4b01z?oc=5,outage,,OUTAGE_NETWORK affecting network in Network Infrastructure.
20,RISK-OUTAGE_APPLICATION-SYSTEMS-9187E752,CL-000031,Critical application outage disrupts business operations,Technology,Identity & Access Management,OUTAGE_APPLICATION,systems,15,3,5,8,15,Weak,Medium,True,INC-0001,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,"Risk signal (Weak): OUTAGE_APPLICATION affecting systems in Identity & Access Management. Evidence window: 2025-08-28 to 2025-08-28 across 1 source(s). Representative sources: Managing time and attendance: Update to Kronos transition plan, system outage scheduled - Clemson News | Managing time and attendance: Update to Kronos transition plan, system outage scheduled - Clemson News","OUTAGE_APPLICATION affecting systems can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2025-08-28,2025-08-28,Clemson News,https://news.google.com/rss/articles/CBMisAFBVV95cUxOTHJyNXhHR1lZWl9JV2pfWENfRGcyUURUblNxUzhvTUNXRF9HamZBWTMycFRIaXgzNEpOWkRQMTJYVklzNk8ySXJXVF9ucTQwbkVCbHZ4cWpGMWJOZk1yam1keG13amJrbEZ2aUVPWGVULUFsV2tIZmx2cmlYdUdsYzZQMUhvdzAzN2IzMy1ZeGFvdWNFS19JQ0lMYW1STEdnNGtTSUU1em9mOFNYVjNTcA?oc=5,outage,,OUTAGE_APPLICATION affecting systems in Identity & Access Management.
