risk_id,cluster_id,evidence_id,published_date,publisher,title,url,source_type,search_query,relevance_score,event_type_hint,entity_keywords,event_keywords,asset_keywords
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000065,EV-A866428D1D,2025-10-21,Reuters,Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxOeE4ycmlacV9XMzUzeE83dnZlcUV4c3RBNXJkMlhkSUxaTmhKQjNyV0dDbTJWRW9nUE8teU1MczY0dTZKUFVkSW9jNnJHVVFlQkhQNklXNlV0bkx1dy1STk9lZjM0ZE1JMVFnbmdzdGltRU1Wd21Nbm9GUDFqZmhpWmJGaER4ZGRxOFNfYzNvNmN6ZEFZYTdJVkdsdjRDbWZnRHlhbmh1NXpjdzFuNjBLeldkd3ZramM?oc=5,news,"compute service disruption,storage failure",0.8,OUTAGE_CLOUD_REGION,,outage,cloud
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000072,EV-F2BC4475CF,2025-10-29,ABC7 Los Angeles,Microsoft Azure outage today: Technology company says it has deployed a fix for cloud service experiencing issues - ABC7 Los Angeles,https://news.google.com/rss/articles/CBMiugFBVV95cUxNc1EycG1yZm56MkNheDNGbXpjS0E0Vk1DVGlSSllPME5rTzNMczkwa0d3MU1Hc1lSNURIMUdqRWxqb1M4TDJMdWp3UlZ1a1NWRy1SYzdSOFVuc0RFbTYzR2dvc0NydFBUZGRKdlRHX2JfSnUySnZxOThCQTVVWEVMbWNIWDJwVENnYktra3JCY3pRSzcyTXY4Q2pVTm9DS2VGTG4ycVZhYldmbG45SXd0ZHJTc0JtLVZFTVHSAb8BQVVfeXFMTnI1ejRKQ09KOUpTV29PMHpWTElHS3lEZkRpUUc4Q0F5WTd2cU9WQ3V2bEdVVEZPQjNnRnMxNkJlNnpBVkJZaHcyMmZua21IS3RleTNaamdJaUpEdTBLVXhmeUgtX3FVTll5V09uejBNbzF1N1l5eUc3cUt3dzJDTXpqZFI0Zk5aNGhLajdkR3QwZ3BEVjE5R2x2UHFHdkpyN3lJVXlkbEh6WURscW90Y19xeGxmTFJWa25sVkF5NFU?oc=5,news,cloud provider outage,0.8,OUTAGE_CLOUD_REGION,,outage,cloud
RISK-OUTAGE_NETWORK-NETWORK-29A3FACF,CL-000091,EV-3CB1B81ED9,2025-12-05,Simple Flying,Frantic Friday: Network Outage Brings Delta's Detroit Hub To A Halt - Simple Flying,https://news.google.com/rss/articles/CBMia0FVX3lxTFBpd09hZW5oTXRDSno1RlBlSnBnMjFJRFA0dGVRamNmZFd5LUdxWGJrYzQ2b2dTY1Riakt5UTVsRTEzOVZWWVpndlFxWEJnVlZqS0FoQjRWS0tsU0d2MUxqS0tyWUREZWQ0TnBn?oc=5,news,EDI outage,0.7,OUTAGE_NETWORK,,outage,network
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000096,EV-B6E78CFC94,2025-12-11,Industrial Cyber,"Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQcTFid1ZqV0dWajdoT0xDQW9teWtzdWhkV003QzRPb0xpS2lCX3FKWVc0VmtmMENwZ0NGRjRfWUdNTmRqNHlvaEhrbm1IV3JBMGFRQkxhX0VoOVZ4N1gxdG10X3lPYmVDemgybXU0d2ZoTldDMEhIN2ZsM2RzcjcwSUNoNldvYnFwZXZaMldCS0xZU256OWZwTnJLdmdTeVFkVV9OWDNLSm5QSVBwSzZVM3VZNnJWUXR0TmpaZmc3S3JqUnpxN21HaGotOVZFR0xXOUZTc3h5TWU0X2Npd2pKUA?oc=5,news,"ransomware attack, logistics ransomware, ransomware supply chain, manufacturing ransomware",0.75,SECURITY_RANSOMWARE,,ransomware,
RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000114,EV-88FFECA46C,2026-01-20,Fierce Network,Verizon outage: Analysts and more weigh in - Fierce Network,https://news.google.com/rss/articles/CBMihAFBVV95cUxOXzRGZjdYTHNqcU1WOGdhSHgtWngxNmc2MTgxT0ltTGpETVZINjdjWU1paDhJOXFsckp5ZXlWTzdjS0JCbDI1ZF9CajV0MXU3Y0ZNU0pMbjV2Z2N3VWduUk5odlRSXzZSV1NnVzFmUkZaQVpINFM1eHotS2ZDalRrTTlrOFA?oc=5,news,core network outage,0.7,OUTAGE_NETWORK,,outage,network
RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000115,EV-8910DDE3F8,2026-01-21,PhoneArena,"The Verizon outage reveals the end of five-nine network reliability, and it could happen again - PhoneArena",https://news.google.com/rss/articles/CBMifEFVX3lxTE9ka2l1MmM3VG9CYU5ESDJuVWNGTS03bU1oNEhnNUowaldlV1BDSnNXT2FJdExCckFidEFGbG44QmFxXzU4SmVnS2VFMjhTUXNEdGF5S2pVNEwtSk5BUU1QT2E0Tm8waHlCSVpsZGxSbDlnY2JrMk9aNWxvcHA?oc=5,news,core network outage,0.7,OUTAGE_NETWORK,,outage,network
RISK-OUTAGE_IDENTITY-IDENTITY-18AA8247,CL-000126,EV-F20441A08C,2026-02-04,Network World,Azure outage disrupts VMs and identity services for over 10 hours - Network World,https://news.google.com/rss/articles/CBMitgFBVV95cUxPaExYeEtZdk5WZVo3Sl9GYVU0c3c2NTIxYVpEU0t1eFNGTnpnWV9xSjlIVERNNFZpMHJJcDR5NkJDVnhnRnk1ZFFiYXhQdlJOU3UxNnRxQlZ3anV1bE12dUJTdDdZVm1OX0Z2aUtmZ2U5M2laZ3ZYQ2Y4OVZFdE40V0hFa0RtQ083YjZ4R2ZKS0lWWnR6cGNQYTY2eS1qZE5nc04tWjg1TUREOTFXa3M0LXduUmRiZw?oc=5,news,"compute service disruption,storage failure",0.7,OUTAGE_IDENTITY,,outage,"identity,network"
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000155,EV-05772ECB78,2026-03-10,Insurance Business,Expanding ransomware reach intensifies sector-wide cyber exposure - Insurance Business,https://news.google.com/rss/articles/CBMixgFBVV95cUxOdEZuSGZJX000T0FXbE1XQjkyX29EQUViRHAwMUJmcHJrZXlENFY2WWFhRHMxT0VwYkFmNURjaGJ0QlVUQUxaNEtHZjFiT3RVQ1hGSnBJdTJfZzV0VXB0VlpDRmVjTGZ4d2lSd0U1UWhPemNJYzE5N1JjNjBwZUFPUXV3RTFQTE84eWdldk1yVXVSN2JOZVlON0hTMWxyMFhkTlI5ODZCMVRrTHlUUGMzblJhTWFMLUVHdndQU2JpMUpKdnBNbEE?oc=5,news,"ransomware attack, logistics ransomware, ransomware supply chain, manufacturing ransomware",0.75,SECURITY_RANSOMWARE,,ransomware,
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000183,EV-D98760CE6B,2026-04-07,Reinsurance News,Critical cloud outage risk remains significant despite decline in occurrence: Parametrix - Reinsurance News,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPdy00Zk9jQWZQUVpWTF9SQ3oybENPMzBDaXEzMk94SlZqQ0dOa2c5MW1DREdmazEtV2taVFJCcjBUSkFSRGEzSVpnbDdQSnN2UTFrQTQ0cmsxRTcxMVh4bWlCXzNtRlQ2M0dDeDVZOHFtZ1pOTHI0LW1DcHVTN1d5S3hieGNWT3VUazRXcFp4bFlWUlVTTy1IN3ZsSWl2U3VEU0hhcThacDFpYVgzMmNRbTdfWVlSNXdU?oc=5,news,cloud provider outage,0.7,OUTAGE_CLOUD_REGION,,outage,cloud
RISK-OUTAGE_NETWORK-NETWORK-C79A7C5B,CL-000211,EV-B371AE0584,2026-04-28,Network World,2026 network outage report and internet health check - Network World,https://news.google.com/rss/articles/CBMipAFBVV95cUxQV0JCRjM1ZUF6c2NhUDJ4LTFrVEl4blBFb0dFRk9paE5tZnc2ZUNaU28xdnJ3bVhjYzg4WFEteWl2NUIyRkFCd1diTWJxeHhDQUFNOXpDc2NWUC0wSHkwOUVfT2Rma2pxNzZsUUJ4LWhwc1h1MjJpQkxzbUdXTzc1SXhidU9PVVNtYUNtbTFHWHpBeUxQYnVpWGJZUWdJRm9fSllCMg?oc=5,news,cloud provider outage,0.7,OUTAGE_NETWORK,,outage,network
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000014,EV-D6D7D121D7,2025-04-30,Reuters,Don’t blame renewables for Spain’s power outage - Reuters,https://news.google.com/rss/articles/CBMiogFBVV95cUxOTy1uSkIxQkNWLUdyVTBWNmk5eUJRWU43cnBoQmNIa0pUdEtjOWwyRkJMaG1lMlVkU3hrQ2xlN2NNd2x5Q2wzRVFfTFBDelpzcVNoSk11c3ZOaks1MlN2bFlwb2xyTi1oTGdUbmxsSHRZSFZmQjZtZEdIbHpJa1Q3bHdYczJvbmJ3QkEwSTlUY0FaU25OcjZtcG1BT3p4QlI1TlE?oc=5,news,SSO outage,0.45,OUTAGE_APPLICATION,,outage,
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000020,EV-7A68EB2C9F,2025-06-12,The Cloudflare Blog,"Cloudflare service outage June 12, 2025 - The Cloudflare Blog",https://news.google.com/rss/articles/CBMidkFVX3lxTE04WFBadm40azNtdFFONXpYeUYzLW4tUzNBSkN6Z2syNkdLQXltOGlNWWlodFA3c0RBbmFoSG5jamN1WmpxNzQ3VVBHYVM3cnJmVlFSdzkxUFctRGlaemRGUE9oQVNoeUVESmNGd1IyOEhwd2RpY3c?oc=5,news,"compute service disruption,storage failure",0.65,OUTAGE_APPLICATION,,outage,
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,CL-000024,EV-B646FFE7EC,2025-07-04,AOL.com,Prague at standstill after huge power outage hits the Czech Republic - AOL.com,https://news.google.com/rss/articles/CBMiekFVX3lxTFAtdllZTEVzdlB6M2JpV3ViekhjbXFSTUtwbmpTQldMM0JtTFkxNG1kdFRHN3Z5S1RTOXZTMTloOXczTTdmV0ZrYmIzUmtHQzVxbXI3Nk8zTmEzTEVwUklTeU1YZTZ0b0lxbkJXcVQ0NGxKZDJJSjFFejZR?oc=5,news,EDI outage,0.45,OUTAGE_APPLICATION,,outage,
RISK-OUTAGE_APPLICATION-APPLICATIONS-7886056C,CL-000028,EV-DCF2067495,2025-07-24,Engadget,Starlink outage: Service returns after over two hours down - Engadget,https://news.google.com/rss/articles/CBMisAFBVV95cUxQeU9NM042LVRCWlIzS3RhNjVwbThjMDZYamJWWXdMVUIzOHVEZU5NWlIwRVZpUnVvZGhkNjY1OTJsWHQ2U0lkQnBJbWg5WHpTUzVmc1ZXR0FvZVYzU0s0b09lanR4UElFekI2SVF2ZlBOc0YzZEhpcHRudzh3Mm9oenRKd1hHXzRrNk1KajVaVFRGOUVOQ25kQzhTa1d0Wi04eTRRN3hnZUsySDNEXzNwcg?oc=5,news,core network outage,0.45,OUTAGE_APPLICATION,,outage,
RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000029,EV-452E5B2938,2025-07-25,Reuters,SpaceX probes for cause of Starlink's global satellite network outage - Reuters,https://news.google.com/rss/articles/CBMirAFBVV95cUxOTlJYQmNDd1kwVzFnVkZPNDRROVYzS1dtelZ5QWdQM01XR2FONXNvZ3RMeVEzUmFIYkNrTEg0TlQ0ZXZDLUhmOUdwSDNSTnhYbmdUXzUwclY0WmdWeHAydkV4aE1GZnpOaDVDQnFBNWNSYmlDbnV5RWxQdzg3OWp2djI4LXFOU2hUaGZSTDY0ME5hT0Y0SEY0dHFvSlRCTUhfNVlZOGpualZ4b01z?oc=5,news,core network outage,0.6,OUTAGE_NETWORK,,outage,network
RISK-OUTAGE_APPLICATION-APPLICATIONS-7886056C,CL-000030,EV-5812C778EE,2025-07-25,Al Jazeera,Elon Musk ‘sorry’ after Starlink satellite internet suffers global outage - Al Jazeera,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOVnBCV1RpUkFEOXFOMmNCaktLZWVqT281Q2Q3WFdsMVNxbC1sQUJvcEJocS1BY2MtTGJaZ09LWXJfdktUZXVqWkM1UmhZbFlfUUVESEZIZ0xra3ZkanMyRDNnTHNrZGVETHJPQW1fWlUwald2elI5Q0l0NkxqV0NaQTVwUk9haElkOUlfcXhmekdqZFFtd0dBVU42dHEyYVdCWVdISkdyNzXSAa4BQVVfeXFMTWwyWGJ6OG55M2hHajJjSVp5NDRZUnEzOWVNeldoNjNIdlVxSHdxalZjb0IyN0NGX3ZNM005WjNwSUpfbGZkRUROYUFtOEw2LU91SEUzTEFXMS1Ycm9NX0o0V3VsNUVtRHhUSlpOUUhLalgwMmVRYy1sZ0p3QnpNeEszX08zN2U4cEo5VTVVSkRJZmEyMjVYRHB0emVzSEFTOXIwdV85dEYwQU5Manl3?oc=5,news,core network outage,0.45,OUTAGE_APPLICATION,,outage,
RISK-OUTAGE_APPLICATION-APPLICATIONS-7886056C,CL-000032,EV-A13170FC94,2025-08-18,CNBC,Musk's Starlink suffers apparent outage as SpaceX launches more satellites - CNBC,https://news.google.com/rss/articles/CBMiigFBVV95cUxOajZfZnlOdjF1TnFlR1JFQlAyR1JUWUZadzhkS1gyamZPbGxpYVpOYkhBX0N6ejhmUk1MUFFWRVpSNHM0Mkx3eUFlWEdyYS14UUs2SUJnU1lKMFQtMmFPRTR2RTJTLU9MN0dMdWd3NlByTlU1dHB3Z2tqUGNuZUJ1VlR5RVRUekEwVUHSAY8BQVVfeXFMTTI1RGRBZWRjVUdyaEVfdl9pTDRTWUVUa1JOaWg3RjFoYWZtQ1ZnYnQtYjZDSTRabDdsOUlQanptZkhhZUZtS284dU10MTVNWVRtYUhyRmUtblJQZFIyazI3MWdnNDU3ei1CSFpYQ3IzMlhyODR6cnNWX2ViYlVnUzQtSFNxcG1TaWZaM3RUMGs?oc=5,news,core network outage,0.45,OUTAGE_APPLICATION,,outage,
