risk_id,cluster_id,title,generated_at
RISK-OUTAGE_APPLICATION-APPLICATIONS-7886056C,CL-000083,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000089,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,CL-000090,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,CL-000092,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000094,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,CL-000099,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000128,Ransomware disrupts operations and recovery capabilities,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000139,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000205,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000212,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000196,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000199,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-ERP-717708EA,CL-000011,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-SYSTEMS-3F520A3A,CL-000034,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-A6F509E2,CL-000064,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-SECURITY_BREACH-SYSTEMS-C209CBF4,CL-000174,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000178,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000186,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-A6F509E2,CL-000007,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-SYSTEMS-3F520A3A,CL-000022,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2A703313,CL-000080,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2A703313,CL-000145,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-SECURITY_RANSOMWARE-UNKNOWN-4C1818DC,CL-000193,Ransomware disrupts operations and recovery capabilities,2026-04-28T15:39:18
RISK-SECURITY_RANSOMWARE-SYSTEMS-400317AB,CL-000025,Ransomware disrupts operations and recovery capabilities,2026-04-28T15:39:18
RISK-UNKNOWN-CLOUD-24D5C319,CL-000116,UNKNOWN risk affects Network Infrastructure,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000085,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000130,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000133,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-REGION-3FF9228B,CL-000141,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000148,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-7FC4D717,CL-000153,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-7FC4D717,CL-000154,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000156,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000180,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000197,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000200,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-REGULATORY_ENFORCEMENT-UNKNOWN-7B3945EE,CL-000201,Regulatory enforcement action increases compliance exposure,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000213,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-4C1C3243,CL-000040,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-F9AF8D8A,CL-000055,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-0785DCC0,CL-000063,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-OUTAGE_NETWORK-DNS-1449752A,CL-000068,Network outage disrupts connectivity to critical services,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-7FC4D717,CL-000070,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-REGULATORY_ENFORCEMENT-UNKNOWN-7B3945EE,CL-000074,Regulatory enforcement action increases compliance exposure,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-F9AF8D8A,CL-000082,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-00BE8D73,CL-000088,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-F9AF8D8A,CL-000093,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-7FC4D717,CL-000097,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-B2FE743F,CL-000098,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-REGULATORY_ENFORCEMENT-UNKNOWN-7B3945EE,CL-000100,Regulatory enforcement action increases compliance exposure,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-4C1C3243,CL-000104,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,CL-000105,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-F9AF8D8A,CL-000110,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-B2FE743F,CL-000118,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-B2FE743F,CL-000121,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-B2FE743F,CL-000137,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-4C1C3243,CL-000159,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-4C1C3243,CL-000160,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-CLOUD-8E87EE85,CL-000177,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-7FC4D717,CL-000182,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-00BE8D73,CL-000203,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-B2FE743F,CL-000209,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-C2037A8F,CL-000087,UNKNOWN risk affects Network Infrastructure,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-C2DF56FE,CL-000107,UNKNOWN risk affects Cybersecurity,2026-04-28T15:39:18
RISK-UNKNOWN-NETWORK-7CFD7EC8,CL-000123,UNKNOWN risk affects Network Infrastructure,2026-04-28T15:39:18
RISK-INTEGRATION_FAILURE-API-00793A66,CL-000124,Integration disruption interrupts partner and supplier transactions,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-9E99C579,CL-000146,UNKNOWN risk affects Transportation & Logistics,2026-04-28T15:39:18
RISK-INTEGRATION_FAILURE-API-00793A66,CL-000171,Integration disruption interrupts partner and supplier transactions,2026-04-28T15:39:18
RISK-UNKNOWN-CLOUD-7BEDDA91,CL-000187,UNKNOWN risk affects Distribution Operations,2026-04-28T15:39:18
RISK-INTEGRATION_FAILURE-API-00793A66,CL-000188,Integration disruption interrupts partner and supplier transactions,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000001,UNKNOWN risk affects Order Processing,2026-04-28T15:39:18
RISK-UNKNOWN-ERP-D930965F,CL-000002,UNKNOWN risk affects Order Processing,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000003,UNKNOWN risk affects Order Processing,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,CL-000004,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-7536EA1B,CL-000005,UNKNOWN risk affects Distribution Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-272AAEE2,CL-000006,UNKNOWN risk affects Distribution Operations,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-7536EA1B,CL-000008,UNKNOWN risk affects Distribution Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000009,UNKNOWN risk affects Order Processing,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-272AAEE2,CL-000010,UNKNOWN risk affects Distribution Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-AD10A240,CL-000012,UNKNOWN risk affects Physical Infrastructure,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-272AAEE2,CL-000013,UNKNOWN risk affects Distribution Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-E23A5F28,CL-000015,UNKNOWN risk affects Security Operations,2026-04-28T15:39:18
RISK-UNKNOWN-WMS-D55FE7BC,CL-000016,UNKNOWN risk affects Distribution Operations,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,CL-000017,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,2026-04-28T15:39:18
RISK-UNKNOWN-ERP-D930965F,CL-000018,UNKNOWN risk affects Order Processing,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,CL-000019,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000021,UNKNOWN risk affects Order Processing,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-272AAEE2,CL-000023,UNKNOWN risk affects Distribution Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000027,UNKNOWN risk affects Order Processing,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-0C458AC6,CL-000031,UNKNOWN risk affects Compliance & Governance,2026-04-28T15:39:18
RISK-UNKNOWN-NETWORK-7CFD7EC8,CL-000033,UNKNOWN risk affects Network Infrastructure,2026-04-28T15:39:18
RISK-CYBER_OPERATIONAL_DISRUPTION-UNKNOWN-29F36C0D,CL-000037,CYBER_OPERATIONAL_DISRUPTION risk affects IT Operations,2026-04-28T15:39:18
RISK-INTEGRATION_FAILURE-API-00793A66,CL-000038,Integration disruption interrupts partner and supplier transactions,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-272AAEE2,CL-000039,UNKNOWN risk affects Distribution Operations,2026-04-28T15:39:18
RISK-CYBER_OPERATIONAL_DISRUPTION-UNKNOWN-29F36C0D,CL-000041,CYBER_OPERATIONAL_DISRUPTION risk affects IT Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-29DBC6B7,CL-000042,UNKNOWN risk affects IT Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000043,UNKNOWN risk affects Cybersecurity,2026-04-28T15:39:18
RISK-CYBER_OPERATIONAL_DISRUPTION-UNKNOWN-29F36C0D,CL-000044,CYBER_OPERATIONAL_DISRUPTION risk affects IT Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-29DBC6B7,CL-000046,UNKNOWN risk affects IT Operations,2026-04-28T15:39:18
RISK-CYBER_OPERATIONAL_DISRUPTION-UNKNOWN-29F36C0D,CL-000047,CYBER_OPERATIONAL_DISRUPTION risk affects IT Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000062,UNKNOWN risk affects Cybersecurity,2026-04-28T15:39:18
RISK-CYBER_OPERATIONAL_DISRUPTION-UNKNOWN-29F36C0D,CL-000069,CYBER_OPERATIONAL_DISRUPTION risk affects IT Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000071,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000073,UNKNOWN risk affects Cybersecurity,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-AD10A240,CL-000076,UNKNOWN risk affects Physical Infrastructure,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-E18EEC61,CL-000079,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-FDF21798,CL-000084,UNKNOWN risk affects Transportation & Logistics,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000086,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-CLOUD-E35DFEE4,CL-000095,UNKNOWN risk affects Compliance & Governance,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-E18EEC61,CL-000101,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-0C458AC6,CL-000102,UNKNOWN risk affects Compliance & Governance,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000103,UNKNOWN risk affects Cybersecurity,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-0C458AC6,CL-000106,UNKNOWN risk affects Compliance & Governance,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000108,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000109,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-CLOUD-E35DFEE4,CL-000111,UNKNOWN risk affects Compliance & Governance,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-FDF21798,CL-000112,UNKNOWN risk affects Transportation & Logistics,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-29DBC6B7,CL-000113,UNKNOWN risk affects IT Operations,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,CL-000117,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-0C458AC6,CL-000119,UNKNOWN risk affects Compliance & Governance,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-FDF21798,CL-000120,UNKNOWN risk affects Transportation & Logistics,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-0C458AC6,CL-000122,UNKNOWN risk affects Compliance & Governance,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,CL-000125,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-FDF21798,CL-000127,UNKNOWN risk affects Transportation & Logistics,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000129,UNKNOWN risk affects Cybersecurity,2026-04-28T15:39:18
RISK-UNKNOWN-ERP-D930965F,CL-000131,UNKNOWN risk affects Order Processing,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-FDF21798,CL-000132,UNKNOWN risk affects Transportation & Logistics,2026-04-28T15:39:18
RISK-UNKNOWN-CLOUD-F385B540,CL-000134,UNKNOWN risk affects Cloud Infrastructure,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-C2037A8F,CL-000135,UNKNOWN risk affects Network Infrastructure,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-353BCDD3,CL-000136,UNKNOWN risk affects Order Processing,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-FDF21798,CL-000138,UNKNOWN risk affects Transportation & Logistics,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-24798EA0,CL-000140,UNKNOWN risk affects Network Infrastructure,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-43FBACE0,CL-000142,UNKNOWN risk affects Compliance & Governance,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000143,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000144,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-CLOUD-24D5C319,CL-000147,UNKNOWN risk affects Network Infrastructure,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-24798EA0,CL-000149,UNKNOWN risk affects Network Infrastructure,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000150,UNKNOWN risk affects Cybersecurity,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000151,UNKNOWN risk affects Cybersecurity,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000152,UNKNOWN risk affects Cybersecurity,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-272AAEE2,CL-000157,UNKNOWN risk affects Distribution Operations,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,CL-000158,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000161,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-CYBER_OPERATIONAL_DISRUPTION-UNKNOWN-29F36C0D,CL-000162,CYBER_OPERATIONAL_DISRUPTION risk affects IT Operations,2026-04-28T15:39:18
RISK-CYBER_OPERATIONAL_DISRUPTION-UNKNOWN-29F36C0D,CL-000163,CYBER_OPERATIONAL_DISRUPTION risk affects IT Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000164,UNKNOWN risk affects Cybersecurity,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-24798EA0,CL-000165,UNKNOWN risk affects Network Infrastructure,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,CL-000166,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-29DBC6B7,CL-000167,UNKNOWN risk affects IT Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-24798EA0,CL-000168,UNKNOWN risk affects Network Infrastructure,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-ENDPOINTS-921EB452,CL-000169,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-ENDPOINTS-921EB452,CL-000170,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000172,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-ENDPOINTS-921EB452,CL-000173,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000175,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000176,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000179,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-7D8B8397,CL-000181,UNKNOWN risk affects Procurement & Supply Chain,2026-04-28T15:39:18
